Senator,Years,State,Party,Birthdate,Gender,Ethnicity
Donald W. Stewart,1978–1981,Alabama,Democratic,1940,Null,Null
Jeff Sessions,1997–2017,Alabama,Republican,1946,Null,Null
John Sparkman,1946–1979,Alabama,Democratic,1899,Null,Null
Jeremiah Denton,1981–1987,Alabama,Republican,1924,Null,Null
Howell Heflin,1979–1997,Alabama,Democratic,1921,Null,Null
Luther Strange,2017–2018,Alabama,Republican,1953,Null,Null
Maryon Pittman Allen,1978,Alabama,Democratic,1925,Null,Null
James B. Allen,1969–1978,Alabama,Democratic,1912,Null,Null
Mark Begich,2009–2015,Alaska,Democratic,1962,Null,Null
Mike Gravel,1969–1981,Alaska,Democratic,1930,Null,Null
Ted Stevens,1968–2009,Alaska,Republican,1923,Null,Null
Frank Murkowski,1981–2002,Alaska,Republican,1933,Null,Null
Paul J. Fannin,1965–1977,Arizona,Republican,1907,Null,Null
Jon Kyl,"1995–2013
2018",Arizona,Republican,1942,Null,Null
Dennis DeConcini,1977–1995,Arizona,Democratic,1937,Null,Null
Barry Goldwater,"1953–1965
1969–1987",Arizona,Republican,1909,Null,Null
John McCain,1987–2018,Arizona,Republican,1936,Null,Null
Jeff Flake,2013–2019,Arizona,Republican,1962,Null,Null
Martha McSally,2019–2020,Arizona,Republican,1966,Null,Null
John L. McClellan,1943–1977,Arkansas,Democratic,1896,Null,Null
Blanche Lincoln,1999–2011,Arkansas,Democratic,1960,Null,Null
J. William Fulbright,1945–1974,Arkansas,Democratic,1905,Null,Null
Mark Pryor,2003–2015,Arkansas,Democratic,1963,Null,Null
Tim Hutchinson,1997–2003,Arkansas,Republican,1949,Null,Null
David Pryor,1979–1997,Arkansas,Democratic,1934,Null,Null
Kaneaster Hodges Jr.,1977–1979,Arkansas,Democratic,1938,Null,Null
Dale Bumpers,1975–1999,Arkansas,Democratic,1925,Null,Null
John F. Seymour,1991–1992,California,Republican,1937,Null,Null
John V. Tunney,1971–1977,California,Democratic,1934,Null,Null
Pete Wilson,1983–1991,California,Republican,1933,Null,Null
Barbara Boxer,1993–2017,California,Democratic,1940,Null,Null
George Murphy,1965–1971,California,Republican,1902,Null,Null
Alan Cranston,1969–1993,California,Democratic,1914,Null,Null
S. I. Hayakawa,1977–1983,California,Republican,1906,Null,Null
William L. Armstrong,1979–1991,Colorado,Republican,1937,Null,Null
Gary Hart,1975–1987,Colorado,Democratic,1936,Null,Null
Ben Nighthorse Campbell,"1993–1995
1995–2005",Colorado,"Democratic
Republican",1933,Null,Null
