Richard Shelby,M,white,1934,null,null,1987,2020,Alabama
Doug Jones,M,white,1954,null,null,2018,2020,Alabama
Lisa Murkowski,F,white,1957,null,null,2002,2020,Alaska
Dan Sullivan,M,white,1964,null,null,2015,2020,Alaska
Kyrsten Sinema,F,white,1976,null,null,2019,2020,Arizona
Mark Kelly,M,white,1964,null,null,2020,2020,Arizona
John Boozman,M,white,1950,null,null,2011,2020,Arkansas
Tom Cotton,M,white,1977,null,null,2015,2020,Arkansas
Dianne Feinstein,F,white,1933,null,null,1992,2020,California
Kamala Harris,F,black,1964,null,null,2017,2020,California
Michael Bennet,M,white,1964,null,null,2009,2020,Colorado
Cory Gardner,M,white,1974,null,null,2015,2020,Colorado
Richard Blumenthal,M,white,1946,null,null,2011,2020,Connecticut
Chris Murphy,M,white,1973,null,null,2013,2020,Connecticut
Tom Carper,M,white,1947,null,null,2001,2020,Delaware
Chris Coons,M,white,1963,null,null,2010,2020,Delaware
Marco Rubio,M,hispanic,1971,null,null,2011,2020,Florida
Rick Scott,M,white,1952,null,null,2019,2020,Florida
David Perdue,M,white,1949,null,null,2015,2020,Georgia
Kelly Loeffler,F,white,1970,null,null,2020,2020,Georgia
Brian Schatz,M,white,1972,null,null,2012,2020,Hawaii
Mazie Hirono,F,asian,1947,null,null,2013,2020,Hawaii
Mike Crapo,M,white,1951,null,null,1999,2020,Idaho
Jim Risch,M,white,1943,null,null,2009,2020,Idaho
Dick Durbin,M,white,1944,null,null,1997,2020,Illinois
Tammy Duckworth,F,asian,1968,null,null,2017,2020,Illinois
Todd Young,M,white,1972,null,null,2017,2020,Indiana
Mike Braun,M,white,1954,null,null,2019,2020,Indiana
Chuck Grassley,M,white,1933,null,null,1981,2020,Iowa
Joni Ernst,F,white,1970,null,null,2015,2020,Iowa
Pat Roberts,M,white,1936,null,null,1997,2020,Kansas
Jerry Moran,M,white,1954,null,null,2011,2020,Kansas
Mitch McConnell,M,white,1942,null,null,1985,2020,Kentucky
Rand Paul,M,white,1963,null,null,2011,2020,Kentucky
Bill Cassidy,M,white,1957,null,null,2015,2020,Louisiana
John Kennedy,M,white,1951,null,null,2017,2020,Louisiana
Susan Collins,F,white,1952,null,null,1997,2020,Maine
Angus King,M,white,1944,null,null,2013,2020,Maine
Ben Cardin,M,white,1943,null,null,2007,2020,Maryland
Chris Van Hollen,M,white,1959,null,null,2017,2020,Maryland
Elizabeth Warren,F,white,1949,null,null,2013,2020,Massachusetts
Ed Markey,M,white,1946,null,null,2013,2020,Massachusetts
Debbie Stabenow,F,white,1950,null,null,2001,2020,Michigan
Gary Peters,M,white,1958,null,null,2015,2020,Michigan
Amy Klobuchar,F,white,1960,null,null,2007,2020,Minnesota
Tina Smith,F,white,1958,null,null,2018,2020,Minnesota
Roger Wicker,M,white,1951,null,null,2007,2020,Mississippi
Cindy Hyde-Smith,F,white,1959,null,null,2018,2020,Mississippi
Roy Blunt,M,white,1950,null,null,2011,2020,Missouri
Josh Hawley,M,white,1979,null,null,2019,2020,Missouri
Jon Tester,M,white,1956,null,null,2007,2020,Montana
