Albert Brewer,M,Caucasian/White,1928,null,null,1968,1971,Alabama
George Wallace,M,Caucasian/White,1919,null,null,1971,1979,Alabama
Forrest Hood James Jr.,M,Caucasian/White,1934,null,null,1979,1983,Alabama
George Wallace,M,Caucasian/White,1919,null,null,1983,1987,Alabama
H. Guy Hunt,M,Caucasian/White,1933,null,null,1987,1993,Alabama
Jim Folsom Jr.,M,Caucasian/White,1949,null,null,1993,1995,Alabama
Forrest Hood James Jr.,M,Caucasian/White,1934,null,null,1995,1999,Alabama
Don Siegelman,M,Caucasian/White,1946,null,null,1999,2003,Alabama
Bob Riley,M,Caucasian/White,1944,null,null,2003,2011,Alabama
Robert J. Bentley,M,Caucasian/White,1943,null,null,2011,2017,Alabama
Kay Ivey,F,Caucasian/White,1944,null,null,2017,2020,Alabama
Keith Harvey Miller,M,Caucasian/White,1925,null,null,1969,1970,Alaska
William A. Egan,M,Caucasian/White,1914,null,null,1970,1974,Alaska
Jay Hammond,M,Caucasian/White,1922,null,null,1974,1982,Alaska
Bill Sheffield,M,Caucasian/White,1928,null,null,1982,1986,Alaska
Steve Cowper,M,Caucasian/White,1938,null,null,1986,1990,Alaska
Wally Hickel,M,Caucasian/White,1919,null,null,1990,1994,Alaska
Tony Knowles,M,Caucasian/White,1943,null,null,1994,2002,Alaska
Frank Murkowski,M,Caucasian/White,1933,null,null,2002,2006,Alaska
Sarah Palin,F,Caucasian/White,1964,null,null,2006,2009,Alaska
Sean Parnell,M,Caucasian/White,1962,null,null,2009,2014,Alaska
Bill Walker,M,Caucasian/White,1951,null,null,2014,2018,Alaska
Mike Dunleavy,M,Caucasian/White,1961,null,null,2018,2020,Alaska
Jack Williams,M,Caucasian/White,1909,null,null,1967,1975,Arizona
Raúl Héctor Castro,M,Hispanic/Latino,1916,null,null,1975,1977,Arizona
Wesley Bolin,M,Caucasian/White,1909,null,null,1977,1978,Arizona
Bruce Babbitt,M,Caucasian/White,1938,null,null,1978,1987,Arizona
Evan Mecham,M,Caucasian/White,1924,null,null,1987,1988,Arizona
Rose Mofford,F,Caucasian/White,1922,null,null,1988,1991,Arizona
Fife Symington,M,Caucasian/White,1945,null,null,1991,1997,Arizona
Jane Dee Hull,F,Caucasian/White,1935,null,null,1997,2003,Arizona
Janet Napolitano,F,Caucasian/White,1957,null,null,2003,2009,Arizona
Jan Brewer,F,Caucasian/White,1944,null,null,2009,2015,Arizona
Doug Ducey,M,Caucasian/White,1964,null,null,2015,2020,Arizona
Winthrop Rockefeller,M,Caucasian/White,1912,null,null,1967,1971,Arkansas
Dale Bumpers,M,Caucasian/White,1925,null,null,1971,1975,Arkansas
Bob C. Riley,M,Caucasian/White,1924,null,null,1975,1975,Arkansas
David Pryor,M,Caucasian/White,1934,null,null,1975,1979,Arkansas
Joe Purcell,M,Caucasian/White,1923,null,null,1979,1979,Arkansas
Bill Clinton,M,Caucasian/White,1946,null,null,1979,1981,Arkansas
Frank D. White,M,Caucasian/White,1933,null,null,1981,1983,Arkansas
Bill Clinton,M,Caucasian/White,1946,null,null,1983,1992,Arkansas
Jim Guy Tucker,M,Caucasian/White,1943,null,null,1992,1996,Arkansas
Mike Huckabee,M,Caucasian/White,1955,null,null,1996,2007,Arkansas
Mike Beebe,M,Caucasian/White,1946,null,null,2007,2015,Arkansas
Asa Hutchinson,M,Caucasian/White,1950,null,null,2015,2020,Arkansas
Ronald Reagan,M,Caucasian/White,1911,null,null,1967,1975,California
Jerry Brown,M,Caucasian/White,1938,null,null,1975,1983,California
George Deukmejian,M,Caucasian/White,1928,null,null,1983,1991,California
Pete Wilson,M,Caucasian/White,1933,null,null,1991,1999,California
Gray Davis,M,Caucasian/White,1942,null,null,1999,2003,California
Arnold Schwarzenegger,M,Caucasian/White,1947,null,null,2003,2011,California
Jerry Brown,M,Caucasian/White,1938,null,null,2011,2019,California
Gavin Newsom,M,Caucasian/White,1967,null,null,2019,2020,California
John Arthur Love,M,Caucasian/White,1916,null,null,1963,1973,Colorado
John D. Vanderhoof,M,Caucasian/White,1922,null,null,1973,1975,Colorado
Richard Lamm,M,Caucasian/White,1935,null,null,1975,1987,Colorado
Roy Romer,M,Caucasian/White,1928,null,null,1987,1999,Colorado
Bill Owens,M,Caucasian/White,1950,null,null,1999,2007,Colorado
Bill Ritter,M,Caucasian/White,1956,null,null,2007,2011,Colorado
John Hickenlooper,M,Caucasian/White,1952,null,null,2011,2019,Colorado
Jared Polis,M,Caucasian/White,1975,null,null,2019,2020,Colorado
John N. Dempsey,M,Caucasian/White,1915,null,null,1961,1971,Connecticut
Thomas Meskill,M,Caucasian/White,1928,null,null,1971,1975,Connecticut
Ella Grasso,F,Caucasian/White,1919,null,null,1975,1980,Connecticut
William A. ONeill,M,Caucasian/White,1930,null,null,1980,1991,Connecticut
Lowell Weicker,M,Caucasian/White,1931,null,null,1991,1995,Connecticut
John G. Rowland,M,Caucasian/White,1957,null,null,1995,2004,Connecticut
Jodi Rell,F,Caucasian/White,1946,null,null,2004,2011,Connecticut
Dannel Malloy,M,Caucasian/White,1955,null,null,2011,2019,Connecticut
Ned Lamont,M,Caucasian/White,1954,null,null,2019,2020,Connecticut
Russell W. Peterson,M,Caucasian/White,1916,null,null,1969,1973,Delaware
Sherman W. Tribbitt,M,Caucasian/White,1922,null,null,1973,1977,Delaware
Pete du Pont,M,Caucasian/White,1935,null,null,1977,1985,Delaware
Mike Castle,M,Caucasian/White,1939,null,null,1985,1992,Delaware
Dale E. Wolf,M,Caucasian/White,1924,null,null,1992,1993,Delaware
Tom Carper,M,Caucasian/White,1947,null,null,1993,2001,Delaware
Ruth Ann Minner,F,Caucasian/White,1935,null,null,2001,2009,Delaware
Jack Markell,M,Caucasian/White,1960,null,null,2009,2017,Delaware
John Carney,M,Caucasian/White,1956,null,null,2017,2020,Delaware
Claude R. Kirk Jr.,M,Caucasian/White,1926,null,null,1967,1971,Florida
Reubin Askew,M,Caucasian/White,1928,null,null,1971,1979,Florida
Bob Graham,M,Caucasian/White,1936,null,null,1979,1987,Florida
Wayne Mixson,M,Caucasian/White,1922,null,null,1987,1987,Florida
Bob Martinez,M,Caucasian/White,1934,null,null,1987,1991,Florida
