John Lindsay,Male,Caucasian/White,1921,null,null,1966,1973,New York,New York
Abraham Beame,Male,Caucasian/White,1906,null,null,1974,1977,New York,New York
Edward Koch,Male,Caucasian/White,1924,null,null,1978,1989,New York,New York
David Dinkins,Male,Caucasian/White,1927,null,null,1990,1993,New York,New York
Rudolph Giuliani,Male,Caucasian/White,1944,null,null,1994,2001,New York,New York
Michael Bloomberg,Male,Caucasian/White,1942,null,null,2002,2013,New York,New York
Bill Blasio,Male,Caucasian/White,1961,null,null,2014,2020,New York,New York
Samuel Yorty,Male,Caucasian/White,1909,null,null,1961,1973,Los Angeles,California
Thomas Bradley,Male,Black/African American,1917,null,null,1973,1993,Los Angeles,California
Richard Riordan,Male,Caucasian/White,1930,null,null,1993,2001,Los Angeles,California
James Hahn,Male,Caucasian/White,1950,null,null,2001,2005,Los Angeles,California
Antonio Villaraigosa,Male,Hispanic/Latino,1953,null,null,2005,2013,Los Angeles,California
Eric Garcetti,Male,Hispanic/Latino,1971,null,null,2013,2021,Los Angeles,California
Richard Daley ,Male,Caucasian/White,1902,null,null,1955,1976,Chicago,Illinois
Michael Bilandic,Male,Caucasian/White,1923,null,null,1976,1979,Chicago,Illinois
Jane Byrne,Female,Caucasian/White,1933,null,null,1979,1983,Chicago,Illinois
Harold Washington,Male,Black/African American,1922,null,null,1983,1987,Chicago,Illinois
Eugene Sawyer,Male,Black/African American,1934,null,null,1987,1989,Chicago,Illinois
Richard Daley,Male,Caucasian/White,1942,null,null,1989,2011,Chicago,Illinois
Rahm Emanuel,Male,Caucasian/White,1959,null,null,2011,2019,Chicago,Illinois
Lori Lightfoot,Female,Black/African American,1962,null,null,2019,2021,Chicago,Illinois
Louie Welch,Male,Caucasian/White,1918,null,null,1964,1973,Houston,Texas
Fred Hofheinz,Male,Caucasian/White,1938,null,null,1974,1978,Houston,Texas
Jim McConn,Male,Caucasian/White,1928,null,null,1978,1981,Houston,Texas
Kathy Whitmire,Female,Caucasian/White,1946,null,null,1982,1992,Houston,Texas
Bob Lanier,Male,Caucasian/White,1925,null,null,1992,1998,Houston,Texas
Lee Brown,Male,Black/African American,1937,null,null,1998,2004,Houston,Texas
Bill White,Male,Caucasian/White,1954,null,null,2004,2010,Houston,Texas
Annise Parker,Female,Caucasian/White,1956,null,null,2010,2016,Houston,Texas
Sylvester Turner,Male,Black/African American,1954,null,null,2016,2021,Houston,Texas
John Driggs,Male,Caucasian/White,1927,null,null,1970,1974,Phoenix,Arizona
Timothy Barrow,Male,Caucasian/White,1934,null,null,1974,1976,Phoenix,Arizona
Margaret Hance,Female,Caucasian/White,1923,null,null,1976,1984,Phoenix,Arizona
Terry Goddard,Male,Caucasian/White,1947,null,null,1984,1990,Phoenix,Arizona
Paul Johnson,Male,Caucasian/White,1959,null,null,1990,1994,Phoenix,Arizona
Skip Rimsza,Male,Caucasian/White,1955,null,null,1994,2004,Phoenix,Arizona
Phil Gordon,Male,Caucasian/White,1951,null,null,2004,2011,Phoenix,Arizona
Greg Stanton,Male,Caucasian/White,1970,null,null,2012,2018,Phoenix,Arizona
Kate Gallego,Female,Caucasian/White,1981,null,null,2019,2021,Phoenix,Arizona
James Tate,Male,Caucasian/White,1910,null,null,1962,1972,Philadelphia,Pennsylvania
Frank Rizzo,Male,Caucasian/White,1920,null,null,1972,1980,Philadelphia,Pennsylvania
William Green III,Male,Caucasian/White,1938,null,null,1980,1984,Philadelphia,Pennsylvania
Wilson Goode,Male,Black/African American,1938,null,null,1984,1992,Philadelphia,Pennsylvania
Ed Rendell,Male,Caucasian/White,1944,null,null,1992,2000,Philadelphia,Pennsylvania
John Street,Male,Black/African American,1943,null,null,2000,2008,Philadelphia,Pennsylvania
Michael Nutter,Male,Black/African American,1957,null,null,2008,2012,Philadelphia,Pennsylvania
Jim Kenney,Male,Caucasian/White,1958,null,null,2012,2021,Philadelphia,Pennsylvania
Walter McAllister,Male,Caucasian/White,1889,null,null,1961,1971,San Antonio,Texas
John Gatti,Male,Caucasian/White,1918,null,null,1971,1973,San Antonio,Texas
Charles Becker,Male,Caucasian/White,1920,null,null,1973,1975,San Antonio,Texas
