Ami Bera,Male,Asian/Pacific Islander,1965,null,null,2013,2021,California
Andy Kim,Male,Asian/Pacific Islander,1982,null,null,2019,2021,New Jersey
Bob Matsui,Male,Asian/Pacific Islander,1941,null,null,1979,2005,California
Bobby Jindal,Male,Asian/Pacific Islander,1971,null,null,2005,2008,Louisiana
Charles Djou,Male,Asian/Pacific Islander,1970,null,null,2010,2011,Hawaii
Colleen Hanabusa,Female,Asian/Pacific Islander,1951,null,null,2011,2015,Hawaii
Daniel Akaka,Male,Asian/Pacific Islander,1924,null,null,1977,1990,Hawaii
David Wu,Male,Asian/Pacific Islander,1955,null,null,1999,2013,Oregon
Doris Matsui,Female,Asian/Pacific Islander,1944,null,null,2005,2021,California
Grace Meng,Female,Asian/Pacific Islander,1975,null,null,2013,2021,New York
Hansen Clarke,Male,Asian/Pacific Islander,1957,null,null,2011,2013,Michigan
Jay Kim,Male,Asian/Pacific Islander,1939,null,null,1993,1999,California
John Ensign,Male,Asian/Pacific Islander,1958,null,null,1995,1999,Nevada
Joseph Cao,Male,Asian/Pacific Islander,1967,null,null,2009,2011,Louisiana
Al Green,Male,Black/African American,1947,null,null,2005,2021,Texas
Al Lawson,Male,Black/African American,1948,null,null,2017,2021,Florida
Alcee Hastings,Male,Black/African American,1936,null,null,1993,2021,Florida
Alma Adams,Female,Black/African American,1946,null,null,2014,2021,North Carolina
André Carson,Male,Black/African American,1974,null,null,2008,2021,Indiana
Anthony G. Brown,Male,Black/African American,1961,null,null,2017,2021,Maryland
Antonio Delgado,Male,Black/African American,1977,null,null,2019,2021,New York
Ayanna Pressley,Female,Black/African American,1974,null,null,2019,2021,Massachusetts
Barbara Lee,Female,Black/African American,1946,null,null,1998,2021,California
Bennie Thompson,Male,Black/African American,1948,null,null,1993,2021,Mississippi
Bobby Rush,Male,Black/African American,1946,null,null,1993,2021,Illinois
Bobby Scott,Male,Black/African American,1947,null,null,1993,2021,Virginia
Bonnie Watson Coleman,Female,Black/African American,1945,null,null,2015,2021,New Jersey
Brenda Lawrence,Female,Black/African American,1954,null,null,2015,2021,Michigan
Cedric Richmond,Male,Black/African American,1973,null,null,2011,2021,Louisiana
Colin Allred,Male,Black/African American,1983,null,null,2019,2021,Texas
Danny K. Davis,Male,Black/African American,1941,null,null,1997,2021,Illinois
David Scott,Male,Black/African American,1945,null,null,2003,2021,Georgia
Donald McEachin,Male,Black/African American,1961,null,null,2017,2021,Virginia
Donald Payne Jr.,Male,Black/African American,1958,null,null,2012,2021,New Jersey
Dwight Evans,Male,Black/African American,1954,null,null,2016,2021,Pennsylvania
Eddie Bernice Johnson,Female,Black/African American,1935,null,null,1993,2021,Texas
Emanuel Cleaver,Male,Black/African American,1944,null,null,2005,2021,Missouri
Frederica Wilson,Female,Black/African American,1942,null,null,2011,2021,Florida
G. K. Butterfield,Male,Black/African American,1947,null,null,2004,2021,North Carolina
Gregory Meeks,Male,Black/African American,1953,null,null,1998,2021,New York
Gwen Moore,Female,Black/African American,1951,null,null,2005,2021,Wisconsin
Hakeem Jeffries,Male,Black/African American,1970,null,null,2013,2021,New York
Hank Johnson,Male,Black/African American,1954,null,null,2007,2021,Georgia
Ilhan Omar,Female,Black/African American,1982,null,null,2019,2021,Minnesota
Jahana Hayes,Female,Black/African American,1973,null,null,2019,2021,Connecticut
Jim Clyburn,Male,Black/African American,1940,null,null,1993,2021,South Carolina
Joe Neguse,Male,Black/African American,1984,null,null,2019,2021,Colorado
Joyce Beatty,Female,Black/African American,1950,null,null,2013,2021,Ohio
Karen Bass,Female,Black/African American,1953,null,null,2011,2021,California
Kwanza Hall,Male,Black/African American,1971,null,null,2020,2021,Georgia
Kweisi Mfume,Male,Black/African American,1948,null,null,2020,2021,Maryland
Lacy Clay,Male,Black/African American,1956,null,null,2001,2021,Missouri
Lauren Underwood,Female,Black/African American,1986,null,null,2019,2021,Illinois
Lisa Blunt Rochester,Female,Black/African American,1962,null,null,2017,2021,Delaware
Lucy McBath,Female,Black/African American,1960,null,null,2019,2021,Georgia
Marc Veasey,Male,Black/African American,1971,null,null,2013,2021,Texas
Marcia Fudge,Female,Black/African American,1952,null,null,2008,2021,Ohio
Maxine Waters,Female,Black/African American,1938,null,null,1991,2021,California
Robin Kelly,Female,Black/African American,1956,null,null,2013,2021,Illinois
Sanford Bishop,Male,Black/African American,1947,null,null,1993,2021,Georgia
Sheila Jackson Lee,Female,Black/African American,1950,null,null,1995,2021,Texas
Steven Horsford,Male,Black/African American,1973,null,null,2019,2021,Nevada
Terri Sewell,Female,Black/African American,1965,null,null,2011,2021,Alabama
Val Demings,Female,Black/African American,1957,null,null,2017,2021,Florida
Will Hurd,Male,Black/African American,1977,null,null,2015,2021,Texas
Yvette Clarke,Female,Black/African American,1964,null,null,2007,2021,New York
Andy Biggs,Male,Caucasian/White,1958,null,null,2017,2021,Arizona
Ann Kirkpatrick,Female,Caucasian/White,1950,null,null,2019,2021,Arizona
Bradley Byrne,Male,Caucasian/White,1955,null,null,2014,2021,Alabama
Bruce Westerman,Male,Caucasian/White,1967,null,null,2015,2021,Arkansas
David Schweikert,Male,Caucasian/White,1962,null,null,2011,2021,Arizona
Debbie Lesko,Female,Caucasian/White,1958,null,null,2018,2021,Arizona
Don Young,Male,Caucasian/White,1933,null,null,1973,2021,Alaska
Doug LaMalfa,Male,Caucasian/White,1960,null,null,2013,2021,California
French Hill,Male,Caucasian/White,1956,null,null,2015,2021,Arkansas
Gary Palmer,Male,Caucasian/White,1954,null,null,2015,2021,Alabama
Greg Stanton,Male,Caucasian/White,1970,null,null,2019,2021,Arizona
Jared Huffman,Male,Caucasian/White,1964,null,null,2013,2021,California
Jerry McNerney,Male,Caucasian/White,1951,null,null,2007,2021,California
Liz Cheney,Female,Caucasian/White,1966,null,null,2017,2021,Wyoming
Martha Roby,Female,Caucasian/White,1976,null,null,2011,2021,Alabama
Mike Rogers,Male,Caucasian/White,1958,null,null,2003,2021,Alabama
Mike Thompson,Male,Caucasian/White,1951,null,null,1999,2021,California
Mo Brooks,Male,Caucasian/White,1954,null,null,2011,2021,Alabama
Paul Gosar,Male,Caucasian/White,1958,null,null,2011,2021,Arizona
Rick Crawford,Male,Caucasian/White,1966,null,null,2011,2021,Arkansas
Robert Aderholt,Male,Caucasian/White,1965,null,null,1997,2021,Alabama
Steve Womack,Male,Caucasian/White,1957,null,null,2011,2021,Arkansas
Tom McClintock,Male,Caucasian/White,1956,null,null,2009,2021,California
Tom O Halleran,Male,Caucasian/White,1946,null,null,2017,2021,Arizona
Abby Finkenauer,Female,Caucasian/White,1988,null,null,2019,2021,Iowa
Abigail Spanberger,Male,Caucasian/White,1979,null,null,2019,2021,Virginia
Adam Kinzinger,Male,Caucasian/White,1978,null,null,2011,2021,Illinois
Adam Schiff,Male,Caucasian/White,1960,null,null,2001,2021,California
Adam Smith,Male,Caucasian/White,1965,null,null,1997,2021,Washington
Adrian Smith,Male,Caucasian/White,1970,null,null,2007,2021,Nebraska
Alan Lowenthal,Male,Caucasian/White,1941,null,null,2013,2021,California
Andy Barr,Male,Caucasian/White,1973,null,null,2013,2021,Kentucky
Andy Harris,Male,Caucasian/White,1957,null,null,2011,2021,Maryland
Andy Levin,Male,Caucasian/White,1960,null,null,2019,2021,Michigan
Angie Craig,Female,Caucasian/White,1972,null,null,2019,2021,Minnesota
Ann McLane Kuster,Female,Caucasian/White,1956,null,null,2013,2021,New Hampshire
Ann Wagner,Female,Caucasian/White,1962,null,null,2013,2021,Missouri
Anna Eshoo,Female,Caucasian/White,1942,null,null,1993,2021,California
Anthony Brindisi,Male,Caucasian/White,1978,null,null,2019,2021,New York
Austin Scott,Male,Caucasian/White,1969,null,null,2011,2021,Georgia
Barry Loudermilk,Male,Caucasian/White,1963,null,null,2015,2021,Georgia
Ben Cline,Male,Caucasian/White,1972,null,null,2019,2021,Virginia
Ben McAdams,Male,Caucasian/White,1974,null,null,2019,2021,Utah
Betty McCollum,Female,Caucasian/White,1954,null,null,2001,2021,Minnesota
Bill Foster,Male,Caucasian/White,1955,null,null,2013,2021,Illinois
Bill Huizenga,Male,Caucasian/White,1969,null,null,2011,2021,Michigan
Bill Johnson,Male,Caucasian/White,1954,null,null,2011,2021,Ohio
Bill Keating,Male,Caucasian/White,1952,null,null,2011,2021,Massachusetts
Bill Pascrell,Male,Caucasian/White,1937,null,null,1997,2021,New Jersey
Bill Posey,Male,Caucasian/White,1947,null,null,2009,2021,Florida
Billy Long,Male,Caucasian/White,1955,null,null,2011,2021,Missouri
Blaine Luetkemeyer,Male,Caucasian/White,1952,null,null,2009,2021,Missouri
Bob Gibbs,Male,Caucasian/White,1954,null,null,2011,2021,Ohio
Bob Latta,Male,Caucasian/White,1956,null,null,2007,2021,Ohio
Brad Schneider,Male,Caucasian/White,1961,null,null,2017,2021,Illinois
Brad Sherman,Male,Caucasian/White,1954,null,null,1997,2021,California
Brad Wenstrup,Male,Caucasian/White,1958,null,null,2013,2021,Ohio
Brendan Boyle,Male,Caucasian/White,1977,null,null,2015,2021,Pennsylvania
Brett Guthrie,Male,Caucasian/White,1964,null,null,2009,2021,Kentucky
Brian Babin,Male,Caucasian/White,1948,null,null,2015,2021,Texas
Brian Fitzpatrick,Male,Caucasian/White,1973,null,null,2017,2021,Pennsylvania
Brian Higgins,Male,Caucasian/White,1959,null,null,2005,2021,New York
